age,sex,zone,mc,vage,bonus,duration,freq,sev
28,2,4,4,2,3,1.64,0,0
53,2,3,4,15,2,0.75,0,0
50,2,4,2,10,3,1,0,0
50,2,4,4,42,1,0.85,0,0
55,1,3,3,7,2,1,0,0
45,2,3,5,12,7,2.19,0,0
53,2,1,3,26,7,0.86,0,0
52,2,5,5,14,1,0.72,0,0
51,2,3,2,13,7,0.44,0,0
47,2,4,3,23,7,2.03,0,0
31,2,2,4,12,7,0.29,0,0
45,1,4,6,13,6,0.5,0,0
31,2,2,5,16,7,2.87,0,0
61,2,4,6,14,7,2.35,0,0
28,2,6,3,6,2,0.41,0,0
41,2,4,2,16,2,1.19,0,0
49,2,6,3,5,2,0.33,0,0
19,2,4,2,9,1,2.07,0,0
36,2,2,4,24,1,0.44,0,0
42,2,4,6,6,7,3.77,0,0
47,2,3,5,18,2,0.5,0,0
27,2,1,2,18,7,1,0,0
43,2,1,6,2,7,1,0,0
54,2,4,6,13,1,1.12,0,0
44,2,4,5,3,3,0.98,0,0
47,2,4,6,9,7,5.97,0,0
29,2,6,1,16,4,0.5,0,0
65,2,3,4,3,7,1,0,0
36,1,2,2,2,2,0.82,0,0
53,2,6,5,17,1,1,0,0
51,2,4,6,8,1,1.32,0,0
25,2,4,4,14,1,1.13,0,0
41,1,3,1,31,7,0.5,0,0
31,2,4,3,16,1,0.99,0,0
26,2,1,3,6,2,1,0,0
27,1,2,5,16,3,1,0,0
44,2,6,3,1,2,0.94,0,0
27,1,1,5,13,7,1.24,0,0
26,2,2,3,3,4,0.49,0,0
47,2,4,5,19,4,1.98,0,0
43,2,4,5,16,6,3.4,0,0
59,2,2,5,3,5,0.5,0,0
23,2,4,4,6,2,1.46,0,0
55,2,2,3,15,1,1.66,0,0
43,1,1,3,5,7,1,0,0
50,2,4,2,5,3,0.5,0,0
67,2,4,4,1,7,1.47,0,0
42,2,4,4,22,3,1,0,0
32,2,6,3,45,5,0.5,0,0
25,2,2,3,5,3,0.32,0,0
42,2,3,4,21,7,1.93,0,0
35,2,4,4,24,1,1,0,0
21,2,2,6,1,2,0.56,0,0
23,2,4,5,8,2,0.47,0,0
28,1,4,6,12,7,0.25,0,0
18,2,4,2,7,1,0.94,0,0
49,2,4,6,6,1,1.09,0,0
25,2,4,6,5,5,0.07,0,0
45,2,4,1,50,1,0.23,0,0
28,2,3,4,13,4,1,0,0
32,2,2,6,1,7,0.55,0,0
71,2,1,5,2,7,1,0,0
51,2,4,5,17,7,16.88,0,0
32,2,1,7,12,2,0,0,0
30,1,1,3,2,4,0.5,0,0
49,2,4,1,16,2,0.51,0,0
40,1,6,2,23,1,0.5,0,0
52,2,2,3,19,6,1,0,0
50,1,4,5,21,2,0,0,0
56,1,4,1,43,2,0.56,0,0
79,2,4,3,4,7,0.59,0,0
48,2,4,1,46,3,1,0,0
43,2,3,3,14,1,1.49,0,0
30,1,4,1,33,1,0.54,0,0
37,1,4,3,2,2,0.32,0,0
47,1,3,3,8,7,1,0,0
52,2,2,6,3,7,0.47,0,0
43,2,2,5,22,4,1,0,0
56,1,1,5,2,7,1,0,0
63,2,3,5,17,4,0.98,0,0
24,2,5,6,2,2,0.5,0,0
50,1,3,6,1,7,1.96,1,4807
46,2,3,1,44,7,0.49,0,0
27,2,1,3,16,1,0.97,0,0
44,1,4,5,1,7,1,0,0
46,2,6,4,11,7,1,0,0
24,2,4,5,16,7,0.93,0,0
47,2,1,3,11,4,0.95,0,0
30,2,4,4,2,3,0.55,0,0
22,2,4,4,3,5,0.58,0,0
62,1,4,3,2,7,0.5,0,0
24,2,4,5,11,5,0.42,0,0
66,2,4,1,67,6,0.94,0,0
27,2,3,1,9,1,0.06,0,0
25,2,4,5,16,2,0.73,0,0
31,2,1,4,14,4,0.25,0,0
38,1,4,2,15,7,1,0,0
58,2,4,6,5,7,0.81,0,0
62,2,6,3,21,2,0.5,0,0
45,1,4,5,12,2,0.87,0,0
43,2,4,3,9,1,0.48,0,0
50,2,2,3,7,6,1.21,0,0
47,1,3,5,18,4,0.97,0,0
36,2,4,1,3,7,0.5,0,0
19,2,4,2,17,2,0.34,0,0
65,2,4,1,46,7,0.5,0,0
49,2,4,3,15,6,2.43,0,0
53,2,3,3,17,7,3,0,0
57,2,4,2,7,7,0.41,0,0
38,1,4,3,3,7,1,0,0
29,2,3,4,8,2,1,0,0
47,2,3,4,20,1,0.43,0,0
49,1,3,3,2,7,0.49,0,0
37,2,2,5,16,6,1,0,0
50,1,4,6,6,7,0.5,0,0
29,2,2,6,17,7,0.5,0,0
23,2,3,7,2,4,0,0,0
78,2,3,1,3,1,0.96,0,0
45,2,4,3,3,7,19.04,0,0
25,2,1,7,1,7,0.75,0,0
48,2,5,3,7,3,0.5,0,0
72,1,4,6,1,7,0.94,0,0
47,2,2,3,10,7,2,0,0
18,2,4,1,8,2,3.96,0,0
25,2,5,4,5,3,0.45,0,0
57,2,3,3,16,1,0.93,0,0
67,2,6,4,4,1,1,0,0
51,2,4,5,16,2,0.14,0,0
26,2,6,6,15,6,0.66,0,0
36,1,4,3,16,7,1.37,0,0
42,2,5,5,17,4,0.93,0,0
45,2,4,3,0,3,0.04,0,0
39,2,4,3,7,5,0.25,0,0
33,2,1,6,19,5,0.25,0,0
47,2,3,5,18,4,0.5,0,0
42,2,2,4,16,2,1,0,0
66,2,2,4,13,4,0.5,0,0
48,2,3,2,5,7,0.95,0,0
53,2,1,6,8,2,0.5,0,0
66,2,4,6,1,6,0.78,0,0
50,1,6,3,17,3,1,0,0
33,2,3,5,15,2,2.01,0,0
26,2,2,3,17,3,0.5,0,0
59,2,4,5,13,7,1.32,0,0
55,2,4,7,7,7,0.03,0,0
42,2,3,3,3,3,0.98,0,0
37,2,4,6,17,5,0.58,0,0
30,1,4,5,18,7,0.77,0,0
24,2,4,6,4,6,1,0,0
51,2,4,1,3,7,1,0,0
53,2,1,3,16,1,0.98,0,0
49,2,4,3,18,2,0.5,0,0
49,1,3,4,1,3,0.43,0,0
34,2,2,1,30,7,1,0,0
51,2,4,5,4,1,0.42,0,0
47,2,1,3,3,2,0.99,0,0
33,2,1,3,4,2,0.05,0,0
56,2,3,4,14,3,1.01,0,0
24,2,3,3,13,1,0.06,0,0
35,2,4,3,16,6,1.15,0,0
27,2,4,3,4,5,0.93,0,0
41,1,4,5,22,7,0.97,0,0
28,2,2,7,7,4,0.5,0,0
26,2,5,5,6,6,0.5,0,0
29,2,3,4,17,5,1,0,0
27,2,1,1,37,4,0.72,0,0
49,2,6,3,7,3,1.47,0,0
25,2,4,4,6,7,0.25,0,0
45,2,1,2,2,2,0.75,0,0
58,2,4,3,10,7,2,0,0
46,2,3,5,14,7,0.81,0,0
26,2,4,5,13,2,1.93,0,0
28,2,3,3,14,7,0.12,0,0
48,2,4,3,25,3,0.5,0,0
33,1,2,3,15,7,1,0,0
52,2,2,3,10,4,0,0,0
53,2,3,5,18,5,0.5,0,0
19,2,4,3,19,1,0.41,0,0
48,1,3,3,1,3,0.43,0,0
24,1,4,2,16,2,0.73,0,0
48,2,4,2,3,7,2.07,0,0
45,2,3,4,21,7,0.43,0,0
20,2,4,4,14,1,2.81,0,0
31,2,4,5,22,7,0.29,0,0
53,2,1,3,16,6,0.5,0,0
35,2,3,6,15,7,1.78,0,0
50,2,6,4,15,5,0.5,0,0
45,1,4,5,13,4,0.75,0,0
54,2,1,3,5,2,0.75,0,0
63,2,3,4,8,7,1,0,0
27,2,1,6,3,6,0.84,0,0
63,2,4,5,17,1,1.1,0,0
31,2,2,5,6,7,1.5,0,0
29,2,4,3,45,6,0.5,0,0
48,2,4,4,16,6,1.44,0,0
59,2,4,3,17,5,2,0,0
51,2,4,2,53,2,1,0,0
36,2,4,1,34,7,0.99,0,0
52,1,4,3,16,7,1,0,0
50,1,4,3,5,4,0.98,0,0
29,2,2,6,16,7,0.23,0,0
60,2,2,1,11,7,1,0,0
58,2,4,1,8,7,0.5,0,0
54,2,2,4,3,4,0.5,0,0
35,2,4,4,2,5,0.55,0,0
47,2,3,4,17,5,1.43,0,0
54,2,2,3,17,1,0.87,0,0
44,1,2,3,16,3,0.5,0,0
47,2,3,4,19,4,0.67,0,0
45,2,3,4,0,7,0.45,0,0
27,2,4,3,14,3,0.73,0,0
25,2,3,3,11,1,0.94,0,0
63,2,3,2,16,7,2,0,0
52,2,4,6,3,4,0.93,0,0
51,2,5,5,14,2,0.5,0,0
43,2,2,4,9,3,0.96,0,0
65,2,1,2,2,7,1.34,0,0
21,2,2,3,4,1,1.44,0,0
49,2,3,4,3,7,0.94,0,0
22,2,4,5,8,3,0.5,0,0
54,2,2,4,11,7,2.56,0,0
54,2,3,3,0,1,0.86,0,0
67,2,4,2,6,7,1,0,0
58,1,6,5,9,7,0.44,0,0
37,2,1,3,5,7,0.42,0,0
55,2,4,6,11,7,5.97,0,0
46,2,4,3,9,5,0.5,0,0
53,1,6,3,18,1,0.95,0,0
22,2,4,6,4,1,0.51,0,0
26,2,4,4,15,4,0.5,0,0
61,2,2,4,4,2,1,0,0
30,1,3,3,16,1,1.49,0,0
54,2,2,3,1,5,0.63,0,0
51,2,4,3,6,5,2,0,0
33,2,3,3,8,7,1,0,0
53,2,2,4,13,1,1,0,0
56,2,2,5,9,7,1,0,0
26,2,2,6,8,7,0.16,0,0
28,2,4,3,9,2,0.32,0,0
40,2,4,3,29,1,1,0,0
21,2,4,2,2,2,0.97,0,0
46,2,2,3,5,2,0.5,0,0
28,2,1,5,0,7,0.45,0,0
50,2,4,3,13,6,0.25,0,0
44,1,1,3,9,7,1,0,0
60,2,3,1,36,1,0.5,0,0
60,2,4,3,6,7,1.39,0,0
24,2,4,4,2,1,0.78,0,0
28,1,6,1,10,4,0.3,0,0
52,2,4,6,0,7,1.6,1,8766
45,2,4,3,9,7,3.2,0,0
29,2,4,3,13,1,0.95,0,0
55,2,3,1,39,2,1,0,0
56,2,3,4,17,7,3.83,0,0
80,2,4,6,3,7,0.83,0,0
27,2,1,4,15,7,0.66,0,0
32,2,4,1,15,1,1,0,0
53,2,1,3,8,6,0.19,0,0
59,2,1,3,1,7,1.5,0,0
61,2,3,4,18,1,0.92,0,0
48,1,4,2,10,1,1,0,0
66,2,3,1,15,1,0.95,0,0
55,2,4,6,18,7,2,0,0
43,2,4,5,13,6,0.9,0,0
31,1,4,6,9,7,0.45,0,0
25,2,4,4,3,7,1.19,0,0
53,1,2,1,5,1,0.42,0,0
31,2,1,1,4,3,0.13,0,0
49,2,4,1,39,3,0.5,0,0
57,2,2,6,16,7,1,0,0
42,2,4,3,15,2,4.38,0,0
24,2,4,4,7,5,0.84,0,0
84,2,4,1,12,7,0.3,0,0
56,2,4,4,11,5,1,0,0
61,2,4,4,16,4,1,0,0
21,2,4,6,5,1,0.81,0,0
40,1,4,4,15,1,0.84,0,0
26,2,5,5,12,2,0,0,0
35,2,1,3,17,3,0,0,0
48,2,4,3,19,1,1.98,0,0
43,2,4,3,12,7,4.73,0,0
26,2,4,2,11,1,1,0,0
57,2,4,3,2,1,0.81,0,0
53,2,6,6,5,7,0.3,0,0
31,2,4,6,15,2,0,0,0
46,2,4,4,22,7,2.55,0,0
56,1,3,4,14,7,1.14,0,0
46,2,1,5,16,1,1.4,0,0
44,2,1,1,40,5,0.75,0,0
17,1,5,3,9,1,0,0,0
45,2,4,3,20,3,0.5,0,0
31,2,3,3,23,1,0.5,0,0
45,2,5,4,18,7,1,0,0
18,2,4,3,7,3,0.92,0,0
45,2,4,2,8,4,0.5,0,0
42,2,4,1,52,2,1,0,0
37,2,2,1,29,2,0.5,0,0
29,2,1,1,15,1,0.7,0,0
46,2,1,3,22,1,0.08,0,0
41,1,4,4,15,3,1.34,0,0
43,2,7,1,28,1,1,0,0
33,2,2,5,2,7,1,0,0
50,1,4,4,6,1,0.43,0,0
55,2,3,4,7,2,0.92,0,0
54,2,4,4,15,3,1.05,0,0
36,2,1,4,11,3,0.01,0,0
32,2,3,4,26,5,0.14,0,0
50,2,4,1,22,3,1,0,0
62,2,2,2,20,7,0.93,0,0
34,2,2,5,13,1,1.36,0,0
56,2,2,1,2,2,1,0,0
42,2,3,4,24,1,0,0,0
41,2,3,6,11,1,0,0,0
60,2,4,6,3,2,0,0,0
24,2,3,6,4,2,0.29,0,0
34,2,1,3,24,4,0.5,0,0
55,2,3,3,25,1,0.44,0,0
58,2,3,5,14,7,1.81,0,0
49,2,5,4,14,2,0.84,0,0
53,2,6,4,16,5,0.63,0,0
56,1,1,5,5,6,0.6,0,0
33,1,4,5,13,6,0.94,0,0
49,2,1,4,2,7,0.45,0,0
59,2,4,1,69,2,0.5,0,0
37,2,3,5,20,2,0.5,0,0
52,2,6,1,71,7,1,0,0
46,2,4,1,31,1,0.44,0,0
58,2,3,3,5,3,0.29,0,0
45,2,2,3,3,3,0.5,0,0
51,2,1,3,41,2,0,0,0
47,2,6,3,6,7,0.48,0,0
50,2,4,4,14,2,2.39,0,0
54,2,3,1,41,2,0.5,0,0
57,2,5,3,1,2,0.5,0,0
47,2,3,4,15,3,0.98,0,0
36,1,1,3,18,3,0.65,0,0
53,2,2,4,16,5,1,0,0
54,1,4,3,6,4,0.5,0,0
49,2,4,3,14,5,1.45,0,0
61,2,4,6,0,7,0.57,0,0
48,2,4,1,10,1,0.66,0,0
61,2,1,2,1,7,0.44,0,0
24,2,3,3,6,1,0.33,0,0
43,2,4,5,8,5,0.5,0,0
41,2,4,5,2,6,0.5,0,0
30,2,1,5,3,7,1,0,0
23,2,3,3,3,1,0.94,0,0
59,2,4,1,5,4,0.99,0,0
52,2,1,5,3,7,1.41,0,0
39,2,2,4,26,7,0.5,0,0
43,2,1,3,14,1,0.99,0,0
57,2,2,2,43,7,0.33,0,0
61,2,4,4,8,6,1,0,0
25,2,3,6,14,1,0,0,0
36,2,4,4,13,7,2.34,0,0
51,2,6,5,14,1,1.03,0,0
27,1,4,4,6,1,0.28,0,0
46,2,1,2,3,2,0.99,0,0
31,2,4,3,20,7,2,0,0
37,2,5,7,6,7,0.68,0,0
32,2,1,4,19,7,0.49,0,0
46,2,4,6,7,6,0.46,0,0
22,2,6,4,0,3,0.12,0,0
45,2,4,1,9,1,0.05,0,0
43,2,1,3,3,7,3.99,0,0
30,2,4,5,17,3,0.93,0,0
40,2,3,1,15,1,0.61,0,0
59,2,3,1,4,7,0.85,0,0
42,2,3,2,40,1,0.66,0,0
29,2,3,5,16,2,0.5,0,0
32,2,3,3,18,4,1,0,0
43,2,1,3,4,3,0.42,0,0
45,2,1,6,0,7,0.51,0,0
25,1,4,4,5,5,0.5,0,0
44,2,2,3,2,7,7.28,0,0
20,2,4,2,15,2,1.5,0,0
75,2,3,5,14,2,0.98,0,0
49,2,6,1,70,6,1,0,0
30,2,2,4,28,7,0.25,0,0
34,2,3,4,20,1,0.45,0,0
48,2,1,4,2,5,0.46,0,0
41,1,1,6,12,7,0.41,0,0
57,2,2,5,3,7,1.01,0,0
27,1,6,6,10,7,1,0,0
43,1,4,1,16,1,0.96,0,0
54,1,4,2,2,5,0.93,0,0
23,2,4,3,8,4,0.95,0,0
45,2,4,3,15,2,1.8,0,0
30,2,4,3,16,1,0.56,0,0
21,1,4,5,7,1,0.52,0,0
26,2,3,6,12,7,2.4,0,0
24,2,2,4,5,6,0.98,0,0
50,2,4,4,7,2,1,0,0
50,2,2,3,16,7,3.97,0,0
51,1,3,2,13,7,1,0,0
42,2,2,6,7,2,0,0,0
41,2,6,5,13,1,0.41,0,0
35,1,4,6,11,1,0.44,0,0
46,2,4,5,9,1,1.11,0,0
41,2,2,2,5,7,0.98,0,0
50,2,2,2,2,7,1,0,0
49,2,1,4,7,1,0.97,0,0
41,2,1,4,4,5,0.98,0,0
51,2,4,3,3,2,4.4,0,0
40,2,2,6,1,7,0.01,0,0
40,2,5,6,10,7,0.42,0,0
52,2,3,5,15,2,0.43,0,0
54,2,3,6,8,7,1,0,0
17,2,2,4,6,1,0.13,0,0
46,2,6,1,22,7,1,0,0
38,1,1,3,25,2,0.67,0,0
46,2,3,3,13,1,3.65,0,0
44,2,3,5,15,6,0.79,0,0
54,2,3,6,8,2,0.5,0,0
38,2,3,2,13,7,0.13,0,0
27,1,2,4,13,1,0.08,0,0
32,1,3,3,13,4,0,0,0
41,2,4,3,0,7,1.82,0,0
47,2,4,5,18,6,2.39,0,0
27,2,3,3,6,7,1,1,7541
39,2,4,6,14,1,0.49,0,0
49,2,4,6,11,6,1.18,0,0
63,2,4,1,11,2,1,0,0
38,2,4,4,10,7,2,0,0
52,2,2,3,19,4,0.5,0,0
36,2,4,4,26,3,1,0,0
39,2,5,5,13,7,0.35,0,0
69,2,4,3,1,7,0.98,0,0
48,2,4,5,17,7,18.04,0,0
42,2,4,2,19,7,1,0,0
53,2,1,6,10,4,0.33,0,0
34,2,2,3,7,7,1,0,0
33,2,1,5,15,5,0.98,1,719
52,2,3,3,14,3,0.39,0,0
53,2,3,1,6,2,0.62,0,0
25,1,2,3,26,1,0.46,0,0
46,2,2,3,9,7,2.5,0,0
53,2,3,4,17,4,0.5,0,0
22,2,3,3,13,1,1,0,0
67,2,4,5,14,4,1.5,0,0
51,2,4,5,4,7,2.98,0,0
55,2,2,4,7,7,1,0,0
38,2,4,6,10,6,0.57,0,0
34,2,4,6,19,2,0.5,0,0
71,2,4,5,5,5,0,0,0
31,2,4,3,31,3,0.96,0,0
27,1,4,6,14,4,0.88,0,0
28,2,4,4,4,5,0.42,0,0
28,2,4,4,19,3,0.5,0,0
61,2,4,1,7,7,0.5,0,0
54,2,3,4,1,7,1.8,0,0
52,2,4,3,19,1,0.11,0,0
44,2,4,6,11,1,0.95,0,0
52,2,2,4,32,5,0.44,0,0
61,2,4,4,19,4,0.5,0,0
50,2,1,3,1,6,0.18,0,0
55,2,4,2,5,5,0.5,0,0
62,2,3,4,1,5,0.98,0,0
36,2,2,5,6,7,0.39,0,0
33,2,4,1,32,7,1,0,0
50,2,2,3,2,4,0.99,0,0
30,1,1,3,0,7,0,0,0
51,2,4,5,0,4,0.75,0,0
42,2,4,1,15,4,0,0,0
41,2,3,4,2,1,0,0,0
24,1,4,4,13,7,1,0,0
69,2,2,2,2,2,0.9,0,0
47,2,3,4,16,7,2,0,0
58,2,4,4,16,5,1.08,0,0
44,2,1,4,5,6,0.44,0,0
21,1,2,5,13,1,0.73,0,0
54,2,2,5,17,3,1,0,0
21,2,1,5,4,3,0.17,0,0
52,2,2,3,0,3,0.48,0,0
46,2,4,4,19,3,1,0,0
29,2,4,5,11,1,1,0,0
26,1,1,3,13,1,0.9,0,0
26,2,2,3,15,1,1.37,0,0
55,2,1,4,20,7,0.5,0,0
52,2,3,2,17,5,0.5,0,0
76,2,3,1,6,7,0.41,0,0
61,2,1,2,2,2,1,0,0
59,2,4,3,15,6,0.5,0,0
51,2,4,5,16,1,5.25,0,0
23,2,4,5,15,2,0,0,0
26,1,2,5,13,1,0.39,0,0
37,2,4,4,16,6,0.99,0,0
36,2,3,6,13,7,1.64,0,0
42,2,3,4,15,2,0.5,0,0
65,2,3,5,18,7,0.5,0,0
59,2,2,2,15,1,0.99,0,0
59,2,1,7,10,7,0,0,0
47,2,3,1,42,7,0.5,0,0
58,2,4,3,1,6,2,0,0
34,2,1,1,28,3,0.13,0,0
25,2,4,5,1,6,0.95,0,0
41,2,5,3,5,4,1,0,0
29,2,2,5,8,4,0.7,0,0
59,2,3,5,6,7,0.5,0,0
54,2,4,5,13,2,0.39,0,0
55,2,6,6,17,7,0.9,0,0
45,2,4,3,13,3,0.5,0,0
54,2,4,5,13,4,2.5,0,0
31,2,5,5,7,7,0.97,0,0
46,2,4,3,11,2,0.47,0,0
48,1,3,4,22,1,0.27,0,0
57,2,3,3,8,6,1,0,0
39,2,4,3,9,1,1,0,0
27,2,4,6,16,6,2.7,0,0
33,2,4,6,11,1,0.5,0,0
28,2,4,6,7,2,0.42,0,0
22,2,5,6,13,5,0,0,0
45,2,3,3,6,3,0.11,0,0
50,2,1,5,11,2,0,0,0
21,2,4,3,3,4,0.82,0,0
35,2,2,3,25,1,0.42,0,0
58,1,4,3,3,7,0.15,0,0
30,2,1,3,10,6,0.5,0,0
47,2,4,4,20,5,0.45,0,0
28,2,2,4,12,4,0.61,0,0
27,1,5,5,17,1,0.96,0,0
45,2,4,6,12,5,0.79,0,0
46,2,5,1,12,4,1,0,0
43,2,6,3,9,7,1,0,0
29,2,3,5,14,4,0.01,0,0
23,1,4,4,13,3,0.78,0,0
19,2,1,2,6,2,0.33,0,0
50,2,6,5,17,7,4.2,0,0
44,2,6,3,4,7,1.99,0,0
29,2,6,2,22,6,0.13,0,0
53,2,2,3,2,2,1,0,0
48,2,5,3,25,2,0.5,0,0
25,2,1,5,1,7,0.46,0,0
44,2,4,6,14,7,14.16,0,0
50,2,4,4,11,7,2.58,0,0
52,2,2,3,12,2,1.08,0,0
48,2,2,4,6,5,0.1,0,0
35,2,3,2,19,3,0.93,0,0
57,2,4,5,17,7,5.5,0,0
56,2,2,5,15,7,2.37,0,0
33,2,4,5,15,2,0.61,0,0
17,2,1,1,14,1,0.5,0,0
27,2,1,6,11,1,0,0,0
25,2,3,6,7,2,0.72,0,0
35,1,3,4,15,3,1,0,0
57,2,2,4,2,7,0.5,0,0
52,2,4,4,1,7,7.28,0,0
61,2,4,4,15,2,2,0,0
41,2,2,4,27,7,0.75,0,0
58,2,3,4,15,7,0.79,0,0
58,2,4,4,9,2,1,0,0
28,2,4,4,14,2,0,0,0
45,2,5,4,22,2,0.58,0,0
63,2,2,3,4,5,0.37,0,0
39,1,4,1,29,2,0.33,0,0
60,2,3,6,4,6,0.5,0,0
66,2,4,5,18,3,0.5,0,0
24,2,1,4,5,4,0.06,0,0
28,2,4,4,19,7,0.15,0,0
27,2,4,6,11,6,1.28,0,0
53,2,4,5,3,7,9.93,0,0
58,2,4,3,7,7,2.48,0,0
33,2,2,5,17,5,0.59,0,0
52,2,6,5,16,7,2.76,0,0
29,2,4,3,4,3,0.17,0,0
44,2,3,1,6,1,0,0,0
26,2,2,6,8,5,0.19,0,0
38,2,4,3,13,2,0.01,0,0
46,2,1,3,13,3,0.68,0,0
44,2,4,3,19,3,1.39,0,0
52,2,2,4,12,2,1.07,0,0
38,2,3,3,16,3,0.97,0,0
26,2,2,5,14,1,0.44,0,0
45,1,2,5,17,5,0.66,0,0
33,2,3,3,21,7,1.54,0,0
40,2,4,4,24,6,0,0,0
47,2,5,2,14,7,0.12,0,0
36,2,2,1,14,3,0.02,0,0
47,2,3,5,4,7,1,0,0
52,2,4,3,15,2,3.48,0,0
42,2,3,6,0,7,0.44,0,0
25,2,2,4,15,6,0.97,0,0
59,2,4,1,7,7,0,0,0
55,2,3,3,1,1,3.92,1,456
42,2,5,3,15,1,0.44,0,0
57,2,4,3,9,6,0.94,0,0
31,1,2,5,13,6,0.06,0,0
62,2,4,5,18,6,0.49,0,0
42,2,4,4,1,7,3.1,0,0
49,2,5,5,15,7,1,0,0
20,2,4,6,14,2,0.36,0,0
34,2,1,1,7,7,1.25,0,0
26,2,4,6,0,7,1.45,0,0
51,2,4,4,5,7,4.72,0,0
39,2,4,3,29,4,0.5,0,0
45,2,6,6,17,1,0.84,0,0
45,2,1,3,2,6,0.38,0,0
36,2,4,3,28,2,0.3,0,0
20,1,3,2,11,1,0.65,0,0
49,2,6,5,13,7,1.62,0,0
45,1,4,3,15,3,0.5,0,0
26,1,1,4,6,2,0.5,0,0
23,2,6,6,9,2,1,0,0
55,2,4,3,8,3,0.5,0,0
40,2,3,3,16,3,1.2,0,0
64,1,4,1,4,6,1,0,0
35,2,2,4,6,1,0.41,0,0
33,2,4,2,39,1,0.04,0,0
24,2,4,4,13,1,3.07,0,0
45,2,1,5,27,3,1,0,0
48,2,3,3,22,7,0.98,0,0
22,2,2,5,11,3,0.18,0,0
74,2,4,5,16,1,0.96,0,0
